Tract,Pct_Hour_Commute,Pct_Male_Hour_Commute,Pct_Female_Hour_Commute,Avg_Min_Commute,Avg_Min_Male_Commute,Avg_Min_Female_Commute
101110,20,21.2,18.6,36.4,37,35.6
101122,18.7,18.5,18.8,40.4,40.2,40.8
101210,11.7,5.6,19.2,29,27.2,31.2
101220,6.6,4.3,9.5,28.8,28.3,29.3
101300,15.5,8.9,20.9,32.9,29.1,35.9
101400,11.2,15.1,6.5,32.6,35.1,29.7
102103,8.7,17,1.7,28.4,30.3,26.7
102104,13.1,10.8,15.2,31.2,32,30.4
102105,3.6,5.8,1.4,22,22.8,21.3
102107,21.1,24,16.7,32.4,33,31.6
103101,9.5,9.1,9.9,35,35.3,34.6
103102,22.8,20.8,25.3,35.5,34,37.4
103200,11.5,9.6,14.2,31.7,31.2,32.3
103300,9.7,9.8,9.5,29.9,31.8,28
103400,6.8,5.6,8,29.5,28.2,30.7
104103,10.5,8.2,13.9,28.9,29.7,27.8
104105,21.2,18.3,25.2,33.6,30.2,38.6
104108,13.4,9.4,18.9,29.8,28.4,31.9
104124,22.6,20.9,24.5,36.7,36.3,37.3
104201,13.6,10.1,18.2,30.8,26.8,36.3
104203,16.5,15.4,18.1,33.5,33.3,33.9
104204,15.7,18,12.6,31.1,35,25.9
104310,9.5,10.6,7.8,27.9,29.5,25.5
104320,8.3,7,10.5,26.8,26.1,28.1
104401,9.1,9.6,8.3,26.5,26,27.5
104403,8,10.2,4.8,25.4,28,21.4
104404,7.1,6.3,8.8,24.7,24.5,24.9
104500,8,5.7,10.2,24.2,24.1,24.3
104610,13,10.8,16.1,29.2,27.7,31.3
104620,8.1,10.5,3.9,23.8,25.1,21.7
104701,12.9,12.9,12.8,30.8,31.4,30
104703,9.7,10.8,5.7,25,25.9,21.3
104704,23.4,25.8,21.1,37.6,40.6,34.7
104810,10.3,14.4,3.8,27.8,30.2,23.9
104821,7.1,8.2,5.7,28.1,26.5,30
104822,14.6,14.1,15.6,25.2,24.8,26
106010,14.3,16.2,11.4,31.5,31.5,31.5
106020,15.1,17.2,12.6,32.6,32.9,32.2
106111,16,10.5,22.5,35.6,32.3,39.6
106112,11.8,11.2,12.4,32.9,32.5,33.3
106113,13.4,8,22.8,32.3,29.8,36.8
106114,14.4,15.4,13.2,31.6,31.8,31.3
106403,7.8,9.7,5.7,25.4,27.5,23.2
106405,5.3,3.3,7.9,27.6,24.7,31.3
106406,14.5,12.2,17,33.7,33.5,33.9
106407,16.6,17.8,15.3,39.1,34,44.2
106408,10.6,13.4,7.5,28.8,31.7,25.5
106510,13.8,9.9,18.9,33.1,31,35.7
106520,12.8,18.4,5.4,31.1,36.5,23.9
106603,22.8,28.8,15.2,35,36,33.7
106604,12,13.1,10.5,28.9,29.5,28
106641,22.7,20.5,24.8,36.9,35.6,38.1
106642,14.5,17,11.1,30.7,30.2,31.4
106643,16.4,13.4,20.4,34.2,33.7,35
106645,21.7,24.1,18.1,36,40.2,29.6
106646,11.7,13.3,9.8,32.3,32.2,32.4
106648,10.7,9.2,12.6,26.2,26.4,25.9
106649,18.1,21.1,15.3,31.8,32,31.6
107010,14.9,16.6,12.3,33.3,36.1,28.9
107020,20.3,18.3,22.8,39.1,41.7,35.9
108101,16.8,14.9,20,32.5,31.8,33.8
108102,18,25.3,9.8,34.7,37.3,31.9
108103,18.3,14.4,24.4,36.5,38.5,33.3
108104,27,29,23.9,41.4,43.4,38.4
108201,23.8,26.1,20.8,37.7,38.1,37.1
108202,24.6,28.2,20.4,39.3,40.6,37.8
109100,10.7,17.9,1,25.3,28.4,21.2
109200,29.4,38.2,19.9,37.2,41.3,32.8
109300,14.2,14.1,14.3,32.7,31.7,33.8
109400,18.9,18.1,20.1,35.1,35.6,34.5
109500,5.8,8.3,3,25.6,27.5,23.5
109601,18.2,19.7,15.5,29.8,32.9,24.4
109603,12,10.5,13.9,27.9,29,26.6
109604,10.6,12,8.6,27.7,28.8,26.2
109700,7.3,5.2,10,26.3,25.2,27.8
109800,15.9,9.3,24,31.3,26.9,36.7
111100,15.3,18.4,11.9,32.8,36.5,28.6
111201,18.8,16.4,21.8,32.6,30.3,35.4
111202,14.9,18.8,9.8,29.9,31.6,27.6
111204,18.2,18.3,18,32.6,33.5,31.6
111205,18.1,23.1,11.8,32.9,34.6,30.8
111206,22.4,24.2,19.7,36.1,39.3,31.2
111301,13.4,9.6,17,31.3,29.3,33.1
111302,24.2,27.9,20.7,35.7,36.4,35
111400,13.8,17.1,10.3,30.9,34.1,27.5
113101,14.5,16.2,12.9,31.2,30.8,31.6
113102,15.6,19.6,9.2,32.2,36.2,25.9
113211,10.4,13.8,7.4,30.3,34.8,26.1
113212,16.9,21,12.7,36.9,39.2,34.6
113213,19,23.4,13.8,33.1,36.3,29.3
113231,16.7,24.4,8.3,33.8,40.9,26.1
113232,13.1,14.7,11.4,31.8,33.2,30.3
113233,8.9,11.4,6.1,25.9,26.3,25.5
113234,16.2,16,16.5,29.4,27.5,31.7
113235,20,23.2,16.1,37.6,37.6,37.6
113237,24,28.4,19.6,37.5,39.9,35
113301,19.4,12.4,30.7,32.6,30.5,35.9
113303,16.3,19.2,13.2,29.6,32.6,26.3
113321,9.8,12.4,7,28.5,30.4,26.3
113322,17.7,22.3,12.1,31.8,35.6,27.2
113401,13.4,15.3,11.2,28.3,29.4,27
113421,16.1,17,15.1,28.5,30,26.9
113422,17.2,24.6,7,29.6,35.1,22
115101,11,6.3,15.6,28.7,27.1,30.2
115103,3.9,4.5,3.5,16.3,18,15.2
115104,13.6,17,9.3,29.7,32,26.8
115201,9.2,8.3,10.2,25.6,24.3,27.2
115202,13.1,10.2,16.7,28.9,28.8,29.1
115301,10.6,16.6,5.7,29.8,33,27.1
115302,13.6,15.7,10.5,32,34.3,28.5
115401,16.3,16,16.6,30.6,31.8,29
115403,21.2,16.3,27.4,33.5,31.9,35.5
115404,10.1,14,6.3,25.3,28.6,22
117101,15.5,17.1,13.2,31.5,31.3,31.8
117102,16.5,21,9.9,32.8,36.9,26.9
117201,9.7,13.9,3.3,27.5,28,26.8
117202,23.6,28.1,18.8,35,37,33
117301,23.2,25.8,20.5,36.4,36.8,35.9
117302,17.7,16.4,19.3,33.7,32,35.9
117303,15.6,12.7,18.9,34.3,35.3,33
117404,10.9,12.3,9.5,29.8,32.6,27.1
117405,8.7,10.2,4.6,27,27.8,24.6
117407,26.1,30.9,19.7,34.9,38,30.7
117408,17.7,18.4,16.8,32.6,32.8,32.3
117510,21.7,26.6,13.5,36.6,41.6,28.3
117520,16.3,16.4,16.1,30.3,30.3,30.4
117530,20,17.9,22.7,35,33.6,36.7
119001,19.3,23.3,14.3,37.5,40.1,34.3
119002,8.5,10.6,5.6,28,28.9,26.6
119201,13,13.4,12.3,31.5,32.5,30.1
119202,7.9,6.8,9.7,29.5,30.1,28.7
119310,20.8,22.9,18.3,33.3,34.4,31.9
119320,26.8,31.3,20.8,35.5,37.9,32.3
119340,15,12.3,18.7,31.7,29.3,35
119341,25.1,22.1,28.4,36.1,35.5,36.8
119342,17.6,17.1,18.3,33.5,34.8,31.9
119400,15.6,11.9,20.6,31.6,28.7,35.5
119700,12.8,8.8,16.1,31.6,32.2,31.1
119800,13.4,13.1,13.6,30,31.8,28.1
119900,15.2,13.4,17.1,31.6,30.1,33.3
120010,17,19.9,13.2,32.1,32.3,31.7
120020,13.7,13.2,14.3,28.9,28.5,29.6
120030,17,12.2,25.2,30.5,29.3,32.5
120103,16.9,12.5,26.3,31.4,30,34.4
120104,20.7,20.3,21.2,32.4,30.7,34.6
120105,15.8,15.5,16.2,30.7,32.5,27.9
120106,30.1,36.4,21.5,40.1,42.8,36.3
120107,15.3,19,9.6,31.8,32.5,30.8
120108,14.6,16.2,12.7,32.1,33.3,30.6
120300,13.1,5.4,21,31.1,28.6,33.8
120400,9.3,4.6,15,28.1,26.6,30
121010,17.3,14.8,20.6,35.8,33.8,38.5
121020,18.6,18.2,19.1,33.2,33.5,32.8
121101,8.2,9,7.2,26,24.5,27.8
121102,14.1,10.1,17.8,29.1,25.5,32.5
121210,21.2,32.1,5.8,31.8,35.3,26.9
121221,16,15.7,16.6,30.1,29.4,31.2
121222,16.1,16.4,15.9,30.3,32.8,27.8
121600,21.5,15.8,27.4,33.3,30.6,36.2
121801,13.8,10.5,17.4,32.3,28.5,36.4
121802,13.5,15,11.1,32.2,31.5,33.2
121900,11.5,11.1,12,28.3,28.3,28.3
122000,8.8,2.8,17.5,27.2,25.2,30.2
122120,4.5,7.1,1.2,27.7,29.3,25.8
122121,14.1,17.9,8.2,27.9,28.6,26.7
122122,7.6,5.5,10,24.7,23.1,26.7
122200,13.2,16.1,9,27.7,29.4,25.2
122410,13.7,15,11.4,31,31.2,30.7
122420,12.9,9.3,19.1,30.4,25.7,38.4
123010,14.3,12,17.6,32.5,31.2,34.5
123020,13.5,12.1,15.5,30.3,29.6,31.2
123103,10.2,13.4,7.1,31.2,32.4,29.9
123104,6.8,6.6,7.1,24.2,22.8,26.1
123203,11.8,8.9,16.8,26.7,24.1,31.4
123204,14.7,19.3,4.8,29.2,31.3,24.8
123205,16.2,15.7,17.1,29.8,29.5,30.3
