GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC04_EST_VC17,HC04_MOE_VC17,HC05_EST_VC17,HC05_MOE_VC17,HC06_EST_VC17,HC06_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC05_EST_VC18,HC05_MOE_VC18,HC06_EST_VC18,HC06_MOE_VC18
Id,Id2,Geography,Total; Estimate; Percent high school graduate or higher,Total; Margin of Error; Percent high school graduate or higher,Percent; Estimate; Percent high school graduate or higher,Percent; Margin of Error; Percent high school graduate or higher,Male; Estimate; Percent high school graduate or higher,Male; Margin of Error; Percent high school graduate or higher,Percent Male; Estimate; Percent high school graduate or higher,Percent Male; Margin of Error; Percent high school graduate or higher,Female; Estimate; Percent high school graduate or higher,Female; Margin of Error; Percent high school graduate or higher,Percent Female; Estimate; Percent high school graduate or higher,Percent Female; Margin of Error; Percent high school graduate or higher,Total; Estimate; Percent bachelor's degree or higher,Total; Margin of Error; Percent bachelor's degree or higher,Percent; Estimate; Percent bachelor's degree or higher,Percent; Margin of Error; Percent bachelor's degree or higher,Male; Estimate; Percent bachelor's degree or higher,Male; Margin of Error; Percent bachelor's degree or higher,Percent Male; Estimate; Percent bachelor's degree or higher,Percent Male; Margin of Error; Percent bachelor's degree or higher,Female; Estimate; Percent bachelor's degree or higher,Female; Margin of Error; Percent bachelor's degree or higher,Percent Female; Estimate; Percent bachelor's degree or higher,Percent Female; Margin of Error; Percent bachelor's degree or higher
0500000US06037,06037,"Los Angeles County, California",(X),(X),78.2,0.1,(X),(X),78.3,0.1,(X),(X),78.0,0.1,(X),(X),31.2,0.2,(X),(X),31.2,0.2,(X),(X),31.2,0.2
1400000US06037101110,06037101110,"Census Tract 1011.10, Los Angeles County, California",(X),(X),78.6,4.6,(X),(X),79.1,6.1,(X),(X),78.2,6.7,(X),(X),21.5,3.9,(X),(X),18.5,5.4,(X),(X),24.2,5.4
1400000US06037101122,06037101122,"Census Tract 1011.22, Los Angeles County, California",(X),(X),91.8,3.7,(X),(X),93.5,4.3,(X),(X),90.1,5.1,(X),(X),25.7,5.6,(X),(X),21.6,6.1,(X),(X),29.9,8.7
1400000US06037101210,06037101210,"Census Tract 1012.10, Los Angeles County, California",(X),(X),74.1,5.3,(X),(X),79.9,7.0,(X),(X),68.2,7.8,(X),(X),16.6,5.0,(X),(X),17.0,7.2,(X),(X),16.2,6.4
1400000US06037101220,06037101220,"Census Tract 1012.20, Los Angeles County, California",(X),(X),79.4,4.8,(X),(X),77.6,7.9,(X),(X),80.7,5.1,(X),(X),18.7,5.1,(X),(X),15.2,7.0,(X),(X),21.4,6.3
1400000US06037101300,06037101300,"Census Tract 1013, Los Angeles County, California",(X),(X),86.1,5.4,(X),(X),83.4,7.6,(X),(X),88.4,5.6,(X),(X),30.3,6.8,(X),(X),26.8,6.7,(X),(X),33.2,8.7
1400000US06037101400,06037101400,"Census Tract 1014, Los Angeles County, California",(X),(X),88.8,4.9,(X),(X),90.2,6.0,(X),(X),87.5,5.7,(X),(X),28.7,5.6,(X),(X),32.0,8.1,(X),(X),25.4,6.0
1400000US06037102103,06037102103,"Census Tract 1021.03, Los Angeles County, California",(X),(X),91.8,4.0,(X),(X),93.6,3.8,(X),(X),90.3,6.0,(X),(X),36.7,7.7,(X),(X),37.3,10.4,(X),(X),36.1,9.1
1400000US06037102104,06037102104,"Census Tract 1021.04, Los Angeles County, California",(X),(X),90.2,3.6,(X),(X),90.9,5.5,(X),(X),89.7,4.6,(X),(X),39.0,6.3,(X),(X),37.3,8.7,(X),(X),40.4,7.1
