Tract,Pct_LF_Part,Pct_EP_Ratio,Pct_Unemp
101110,62.7,56.6,9.6
101122,75,69.3,7.6
101210,69.3,62.4,9.9
101220,57.3,53.2,7
101300,54.4,48.8,10.3
101400,62.5,56,10.3
102103,65.2,58.9,9.7
102104,59.6,51.6,13.4
102105,71.7,64.6,9.9
102107,60.3,55.3,8.2
103101,63.2,59,6.7
103102,65,59.3,8.8
103200,55.8,54,3.2
103300,59.3,56.2,5.3
103400,64.2,61.8,3.8
104103,60.5,57.4,5.2
104105,55.9,50.1,10.4
104108,67,61.3,8.4
104124,57.1,54.3,5
104201,60.5,55.3,8.6
104203,69.8,63.6,8.9
104204,54.8,50.2,8.3
104310,68.6,63.1,8.1
104320,65.7,51.6,21.6
104401,68.4,60.9,11.1
104403,62.9,54,14.2
104404,63.6,59.7,6.1
104500,62,60.5,2.3
104610,62.3,58.5,6.1
104620,63.4,59.3,6.4
104701,58.6,48.4,17.4
104703,69.8,63.5,9
104704,61.2,55.2,9.8
104810,69.7,64.9,6.8
104821,67.9,61.8,9.1
104822,69.1,59,14.7
106010,67,63.6,5.1
106020,63.4,59.5,6.2
106111,63.5,58.8,7.3
106112,63.4,60.3,4.8
106113,61.6,57.8,6.1
106114,63.7,59.3,6.8
106403,63.2,59.3,6.1
106405,58,51.8,10.6
106406,66.7,63.3,4.5
106407,59.8,54.8,8.3
106408,69.3,64.2,7.1
106510,68.6,64.7,5.1
106520,62.3,60.3,3
106603,63.3,59.9,4.7
106604,61.4,57.3,6.1
106641,61.8,57.5,6.9
106642,67,62.2,7.2
106643,62.8,59.4,5.4
106645,58,54.3,6.4
106646,57.2,54.3,5.1
106648,65.2,62.3,4.6
106649,68,59.1,12.8
107010,64.5,57.2,11.4
107020,66.5,62.7,5.6
108101,62.4,60.3,3.3
108102,57.3,53.7,6.2
108103,61.4,59.5,3.1
108104,53.5,52.3,2.2
108201,65.1,61.5,5.6
108202,62,57.9,6.5
109100,57,51.9,9
109200,73.9,71.4,3.4
109300,67.4,57.4,14.7
109400,62.6,59.4,5
109500,58.4,54.8,6.1
109601,65,57.8,11.2
109603,63.9,57.4,10.1
109604,74,67.3,9.1
109700,70.6,65.3,7.5
109800,68.1,65,3.9
111100,65.6,59.7,9
111201,66.8,60.6,9.4
111202,60.6,56.2,7.1
111204,59.5,56.2,5.5
111205,64.1,60.3,6
111206,57.7,54.3,5.9
111301,69.3,66.6,3.9
111302,59,55,6.8
111400,65,62.5,3.8
113101,59.4,56.9,4.3
113102,59.1,55.5,6
113211,64.6,62.1,3.8
113212,69.2,65.7,5.1
113213,64.3,62.6,2.7
113231,62.1,58.4,5.9
113232,60,57.9,3.5
113233,75.1,70.6,6
113234,63.9,60.4,5.4
113235,74.6,69,7.4
113237,63.7,58.3,8.5
113301,52.3,51.3,2
113303,63.8,61.1,4
113321,72.6,64.9,10.7
113322,64.1,61.1,4.6
113401,63.6,60.2,5.3
113421,72.6,68.2,6.1
113422,68,62.5,8.1
115101,59.1,56.8,3.9
115103,48,34.7,27.7
115104,71.9,68.3,4.9
115201,62.9,58.7,6
115202,72.8,70.8,2.8
115301,61.1,57.1,6.7
115302,62.5,59.7,4.4
115401,66,62.4,5.4
115403,66.5,60.2,9.4
115404,57.3,55.1,3.8
117101,69.7,63.1,9.5
117102,66.7,63.8,4.5
117201,59.1,55.1,6.8
117202,60.3,53.6,11.3
117301,72.1,65,9.6
117302,61.6,57.7,6.4
117303,65.8,63,4.3
117404,71.2,64.1,9.9
117405,69.8,63.6,8.9
117407,63.3,59.6,5.9
117408,75.5,65.6,13.1
117510,70.3,65.8,6.4
117520,72,62.8,12.8
117530,74.5,66.4,10.8
119001,67.6,63.2,6.4
119002,70.6,65.1,7.8
119201,66,62.8,4.9
119202,61.4,56.8,7.6
119310,66.6,58.8,11.8
119320,73.9,69.6,5.8
119340,77,68.1,11.5
119341,65,58.3,10.3
119342,71.2,63.1,11.2
119400,66.5,58.5,12.1
119700,65.8,63.2,3.9
119800,70.2,66.1,5.7
119900,66.1,61.4,7.2
120010,69.8,63.5,9
120020,67.2,60.6,9.8
120030,64,60.3,5.8
120103,65.6,57.9,11.7
120104,69.4,66.7,3.6
120105,53.4,46.9,12.3
120106,71.1,60.8,14.6
120107,69,62.7,9.1
120108,70.4,63.9,9.3
120300,64.9,57.6,11.2
120400,65.2,59.2,9.2
121010,63.7,61.9,2.8
121020,66.4,62.2,6.3
121101,69.2,63.4,8.3
121102,60.4,58.4,3.3
121210,55.7,52.1,6.4
121221,60.8,54.9,9.7
121222,60.8,56.4,7.2
121600,55.7,53.9,3.1
121801,60.5,55.1,9
121802,55.5,47.3,14.7
121900,56.3,54.8,2.8
122000,59.6,52.6,11.6
122120,60.1,56.6,5.9
122121,62.2,57.6,7.4
122122,58.4,53.4,8.5
122200,65.8,60.3,8.5
122410,58.2,52.3,10.1
122420,68,61.8,9.2
123010,59.9,56.9,5
123020,60,56,6.5
123103,66.9,62,7.4
123104,66.4,61.4,7.5
123203,59.7,51.7,13.5
123204,66.5,60,9.8
123205,65.6,63.6,3.1
123206,63.5,59.8,5.9
123301,69.8,66.4,5
123303,58,52.2,10
123304,56.5,50.7,10.1
123410,61.1,54.1,11.4
123420,66.1,59.1,10.6
123510,64,59,7.7
123520,66.6,61.2,8.2
123601,69.6,64.4,7.4
123602,65.4,61.2,6.3
123700,59.2,54.9,7.3
123800,67.7,62.6,7.6
123901,68.4,64.6,5.6
123902,75.6,68.7,9.1
124000,70.5,62.9,10.9
124102,74.4,71,4.6
124103,61.9,55.9,9.3
124104,72.7,65.5,9.8
124105,66.1,58.8,11.1
124201,62.5,57.9,7.4
124203,68.9,65.7,4.6
124204,70.5,63.5,9.9
124300,66.2,61.9,6.5
124400,68.9,62.4,9.4
124500,77.1,74.4,3.5
124600,69.3,64.7,6.6
124700,74.6,69.7,6.7
124902,68.1,62.7,8
124903,71.3,61.4,13.9
125100,75.7,67.3,11
125200,76.4,69.7,8.8
125310,70.1,63.5,9.4
125320,67.9,62.4,8.1
125401,85.6,78.6,8.2
125402,82.1,73.3,10.4
125501,83,77.6,6.5
125502,80.5,70.7,12.1
125600,70.1,66.3,5.4
127102,70.9,62.4,12
127103,69,64.2,6.8
127104,71.1,58.1,18.2
127210,74.5,67,10.1
127220,67.7,61.6,9
127300,73.9,67,8.6
127400,75.7,69.1,8.5
127520,69.1,63.2,8.6
127603,71.6,60.7,15.2
127604,70.2,62.4,11.1
127605,73.2,68,7.1
127606,72,66.7,6.7
127711,78.8,72.6,7.9
127712,66,61.2,7.3
127803,62.9,58.6,6.8
127804,74.7,68.8,7.9
127805,64.2,59.4,7.6
127806,77,68.2,11.5
127910,69.6,62.8,9.8
127920,73.6,64.4,12.5
128101,72,65.6,8.9
128102,72.3,65.2,9.8
128210,66.6,56.9,14.6
128220,72,65.3,9.2
128302,69.7,61.4,11.8
128303,73.1,64.8,11.4
128400,75,69.9,6.9
128500,73.4,70,4.7
128601,73.7,66.3,10
128602,69.3,65.8,5.1
128702,79.4,71.5,9.2
128801,71.9,67.8,5.7
128802,77.2,75.7,1.9
128910,78.8,72.3,8.3
131010,73,67,7.9
131020,65.6,62.9,4.2
131100,70.2,64.6,8
131200,68.2,65.3,4.1
131300,62.9,59.5,5.4
131400,67.2,62.8,6.6
131600,63.7,59.2,7
131701,69.3,59.9,13.5
131702,63.7,59.2,7.1
131800,61.7,55.6,10
131900,65.2,59.7,8.5
132001,68.7,62.9,8
132002,74.6,70.3,5.8
132101,69.9,65.7,6
132102,73.1,67.4,7.8
132300,69.2,65.9,4.9
132501,54,51.7,3.8
132502,62.8,56.3,10.3
132700,65.2,62.4,4.4
132900,62,58.2,6
133000,64.6,58.4,9.6
133100,63.2,61.8,2.2
134001,74.6,71.9,3.6
134002,67.8,63,7
134101,68.2,61.6,9.7
134103,68.8,65,5.4
134104,70.6,67.8,3.9
134201,64.7,61.3,5.1
134302,65.3,58.6,10.2
134303,65.5,60.2,8.1
134304,59.1,54.4,7.9
134305,79.9,71.6,10.4
134306,66.9,62.4,6.8
134421,60.9,56.8,6.8
134422,65.9,62.2,5.6
134423,62.4,57.7,7.6
134424,62.1,57.3,7.8
134520,67,63.5,5.3
134521,74.9,70.3,6.1
134522,76.3,68.4,10.4
134710,69.3,63.3,8.6
134720,68.7,62,9.8
134800,66.2,62.8,5.1
134901,58.3,55.5,4.9
134903,76.6,70.6,7.7
134904,68.9,65.3,5.2
134905,79.2,74.4,6.1
135102,65.8,60.6,7.8
135111,63.4,62.7,1.1
135113,69.1,65.6,5.1
135114,62.4,51.6,17.3
135201,65.2,62.2,3.7
135202,60.2,54.7,9
135203,61.1,59.6,2.4
137000,59.2,55.4,6.5
137103,73.7,71.3,2.9
137104,68,62.6,7.9
137201,72.4,65.9,9
137301,62.8,59.3,5.7
137302,56.7,53.6,5.5
137401,70.2,63.3,9.8
137402,52.5,46.2,12.1
137501,66.5,60.5,9.1
137502,63.1,60.5,4.2
137504,61.3,59,3.6
138000,64.3,59.4,7.6
139001,76.9,73.3,4.7
139200,62.6,59.1,5.6
139301,71.1,65.5,8
139302,65.8,62.2,5.5
139303,68.9,64,7.1
139401,64.4,62,3.7
139402,58.2,54.2,7
139502,64.8,58.8,9.3
139503,66.5,61.3,7.9
139504,65.3,57.3,12.2
139600,67.8,63,7.1
139701,60.5,59.8,1.1
139702,56.4,54.1,4
139703,62.2,59.3,4.6
139801,56.5,53.6,5.1
139802,53,51.1,3.1
141101,78.5,73.2,6.7
141102,74.9,71.2,5
141201,80.6,75.2,6.7
141202,70.3,64.1,8.8
141302,80.9,73.2,9.5
141303,74.1,66.8,9.9
141304,74.6,68.9,7.6
141400,67.4,65,3.6
141500,63.2,57.9,8.5
141600,67.7,59.4,12.2
141700,64.8,60.6,6.6
143100,79.6,72,9.6
143200,85.7,77.2,9.9
143300,71.9,68.1,5.2
143400,78.1,72.4,7.4
143500,81.1,73.6,9.2
143602,68.5,62.1,9.4
143603,79.7,73.8,7.4
143604,80.8,71.4,11.7
143700,81.2,74.3,8.5
143800,79.6,73.8,7.2
143901,70,62.1,11.3
143902,71.6,66.6,7.1
181000,59,56.3,4.7
181300,64.9,62.7,3.3
181400,66.2,60.4,8.7
181500,73,65.8,9.9
181600,60.1,52.6,12.5
183101,72.9,70,4
183103,72.3,67.3,7
183104,68.2,63,7.7
183220,71.6,64.1,10.5
183221,66.9,61.4,8.3
183222,63.1,58.3,7.1
183300,67.4,62.1,7.8
183401,67.1,61.6,8.2
183402,67.2,62.9,5.6
183510,70.5,66.2,6.1
183520,59.9,51.2,14.6
183610,66.4,57.3,13.4
183620,71.6,63.6,11.2
183701,69.6,66.9,3.9
183702,67.4,62.8,6.8
183810,70.6,64.8,8.3
183820,63.3,57.3,9.6
185100,70.7,67.1,5.1
185202,77,70.8,8
185203,67.6,56.3,16.8
185204,62.4,60.1,3.8
185310,63,55.4,11.6
185320,62.6,55.2,11.8
186100,66.1,61.5,7
186201,70,67.7,3.3
186202,65.2,63.1,3.3
186203,72.4,68.5,5.3
186301,70.5,62.9,10.9
186302,67.8,62.4,8
186401,67.8,62.1,8.5
186403,65.1,59.8,8
186404,74.7,66.3,11.3
187101,67.1,62.7,6.6
187102,60.2,54.3,9.7
187200,67.2,62.8,6.6
187300,80,74.3,7.2
188100,70.8,67.6,4.5
188201,84.1,78.1,7.2
188202,74.9,67.8,9.4
188300,73.7,67.5,8.4
189101,75.2,70.1,6.8
189102,84.2,79.8,5.3
189201,73.3,66.5,9.3
189202,68.9,61.9,10.1
189300,71.3,67.6,5.2
189400,77.4,69.9,9.6
189500,78.4,68.7,12.3
189600,88.7,81.9,7.7
189701,77.4,71.6,7.5
189702,76.1,67.2,11.7
189800,76.8,72.2,6
189902,79.4,71.7,9.8
189903,74.7,69.7,6.7
189904,77.8,72.8,6.3
189905,75.1,69.3,6.8
190100,84.1,67,20.3
190201,57.8,52.8,8.8
190202,74.9,67.2,10.3
190301,73.5,66.7,9.3
190401,70.1,59.5,15
190402,65,60.7,6.6
190510,71.4,66.5,6.9
190520,68.3,59.8,12.4
190700,76.3,67.8,11.1
190801,56.5,46.1,18.3
190802,72.8,67.2,7.7
190901,73.7,70.1,5
190902,70.3,63.8,9.3
191000,81.6,75.7,7.3
191110,70.4,67.8,3.8
191120,64.6,58,10.2
191201,65.2,61,6.5
191203,70.2,58.3,16.8
191204,70.8,64.1,9.5
191301,73.9,71.3,3.4
191302,68.2,62.1,8.9
191410,67.8,62,8.6
191420,77.6,74.3,4.3
191500,70.7,65.5,7.3
191610,76.1,70.3,7.6
191620,64.1,55.5,13.4
191710,67.2,58.7,12.7
191720,70.4,65.1,7.4
191810,74.2,66,11
191820,81.2,76.1,6.2
191901,80.8,73.5,9
191902,81.4,79.3,2.6
192001,68.8,62.8,8.8
192002,79.9,71.4,10.7
192300,76.3,72.5,5.1
192410,72.4,66.8,7.7
192420,77.3,73.9,4.4
192510,71.3,64.3,9.8
192520,73.5,69.5,5.4
192610,69.8,59.2,15.2
192620,68,62.7,7.8
192700,67,58.5,12.7
194101,76.9,72.7,5.5
194102,70.7,65.8,6.9
194200,78.3,72,8
194300,72.6,66.8,8
194401,75.6,70.9,6.3
194402,87.8,84.9,3.3
194500,69.1,61.3,11.4
195100,69.4,61.7,11.1
195201,77.2,71.3,7.2
195202,78.6,74.6,5.1
195300,73.4,68.5,6.7
195400,75.6,71.6,5.3
195500,70.8,67.9,4
195600,70.8,64.8,8.5
195710,64.8,59,8.9
195720,71.6,68.1,4.9
195802,66.1,60.7,8.2
195803,74.5,68.2,8.4
195804,77.7,69.7,10.3
195901,75.9,69.5,8.5
195902,74.8,67.3,10
195903,71.9,66.6,7.3
197200,62.2,61.3,1.4
197300,74.3,71.7,3.4
197410,76.7,73.5,4.2
197420,63.6,57.2,10.2
197500,83.3,76.2,8.5
197600,74.6,68.7,7.9
197700,68.4,63.6,7
199000,65.9,63.1,4.2
199110,62,54.8,11.6
199120,55.5,50.9,8.3
199201,61.2,50.7,17.2
199202,67.9,61.5,9.4
199300,70.7,64.5,8.8
199400,61.3,54.1,11.7
199700,69.2,64.6,6.6
199800,62.1,55.7,10.2
199900,61.9,57.3,7.3
201110,65.6,63.3,3.5
201120,71.6,62.9,12.1
201200,71.6,64.6,9.8
201301,67.8,60.1,11.4
201302,68.6,64,6.3
201401,66.4,58.7,11.6
201402,60.6,55.6,8.2
201501,64,58.4,8.9
201503,64,57.5,10.2
201504,63.2,58.7,7
201601,64.8,60.5,6.7
201602,62.3,56.7,9.1
201700,58.5,50.7,13.4
203100,61.5,55.4,9.9
203200,60.4,58.7,2.7
203300,37.5,32.6,13.2
203500,61.8,58.5,5.4
203600,60.3,57,5.5
203710,60.1,57.2,4.8
203720,55.3,51.8,6.2
203800,56.5,54.4,3.8
203900,67.5,59.5,11.9
204110,61.8,57.1,7.6
204120,61.8,56,9.4
204200,55.9,51.5,7.8
204300,46.9,42.1,10.2
204410,65,63.7,2
204420,56.6,49.8,12
204600,59.6,52.9,11.1
204700,62.7,59.9,4.5
204810,62.8,57.6,8.3
204820,54.3,52.4,3.6
204910,62.1,58.6,5.5
204920,57.6,54.6,5.3
205110,67.1,64.6,3.8
205120,56.1,52.1,7.1
206010,56.4,51,9.5
206020,5.1,5,2.9
206031,82.2,79.6,3.3
206032,59.2,55.4,6.4
206050,48.6,45,7.5
206200,49.3,42.8,13.2
206300,24.6,17,31
207101,60.3,55.5,7.9
207102,48.3,42.1,12.9
207103,49.5,42.7,13.7
207301,73.9,66.7,9.8
207302,74.5,68,8.7
207400,11.1,10.4,6
207501,75.9,71.8,5.4
207502,47.6,44.9,5.7
207710,72.6,69.2,4.6
207900,68.1,64.8,4.9
208000,58.2,51.7,11.2
208301,71.8,68.5,4.6
208302,65.8,58.1,11.7
208401,62.4,59.1,5.3
