GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC05_EST_VC01,HC05_MOE_VC01,HC06_EST_VC01,HC06_MOE_VC01
Id,Id2,Geography,Total; Estimate; Population 5 years and over,Total; Margin of Error; Population 5 years and over,Percent; Estimate; Population 5 years and over,Percent; Margin of Error; Population 5 years and over,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Estimate; Population 5 years and over","Percent of specified language speakers  - Speak English only or speak English ""very well""; Margin of Error; Population 5 years and over","Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Estimate; Population 5 years and over","Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Margin of Error; Population 5 years and over","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; Population 5 years and over","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; Population 5 years and over","Percent of specified language speakers  - Percent speak English less than ""very well""; Estimate; Population 5 years and over","Percent of specified language speakers  - Percent speak English less than ""very well""; Margin of Error; Population 5 years and over"
1400000US06037101110,6037101110,"Census Tract 1011.10, Los Angeles County, California",4333,378,(X),(X),3393,316,78.3,4.9,940,246,21.7,4.9
1400000US06037101122,6037101122,"Census Tract 1011.22, Los Angeles County, California",3020,292,(X),(X),2679,285,88.7,3.9,341,123,11.3,3.9
1400000US06037101210,6037101210,"Census Tract 1012.10, Los Angeles County, California",5675,513,(X),(X),3632,390,64,4.9,2043,358,36,4.9
1400000US06037101220,6037101220,"Census Tract 1012.20, Los Angeles County, California",3187,305,(X),(X),2175,262,68.2,6.3,1012,237,31.8,6.3
1400000US06037101300,6037101300,"Census Tract 1013, Los Angeles County, California",4176,462,(X),(X),3576,467,85.6,3.6,600,141,14.4,3.6
1400000US06037101400,6037101400,"Census Tract 1014, Los Angeles County, California",3950,272,(X),(X),3322,302,84.1,4.7,628,187,15.9,4.7
1400000US06037102103,6037102103,"Census Tract 1021.03, Los Angeles County, California",1724,131,(X),(X),1430,131,82.9,6,294,111,17.1,6
1400000US06037102104,6037102104,"Census Tract 1021.04, Los Angeles County, California",3495,352,(X),(X),2634,383,75.4,5.8,861,194,24.6,5.8
1400000US06037102105,6037102105,"Census Tract 1021.05, Los Angeles County, California",1882,172,(X),(X),1577,155,83.8,5.2,305,108,16.2,5.2
1400000US06037102107,6037102107,"Census Tract 1021.07, Los Angeles County, California",3794,385,(X),(X),3430,399,90.4,3,364,105,9.6,3
1400000US06037103101,6037103101,"Census Tract 1031.01, Los Angeles County, California",2386,199,(X),(X),1968,188,82.5,4.3,418,111,17.5,4.3
1400000US06037103102,6037103102,"Census Tract 1031.02, Los Angeles County, California",4353,395,(X),(X),3338,418,76.7,5.3,1015,226,23.3,5.3
1400000US06037103200,6037103200,"Census Tract 1032, Los Angeles County, California",5888,639,(X),(X),5166,699,87.7,4.9,722,279,12.3,4.9
1400000US06037103300,6037103300,"Census Tract 1033, Los Angeles County, California",3291,306,(X),(X),3159,282,96,3.3,132,111,4,3.3
1400000US06037103400,6037103400,"Census Tract 1034, Los Angeles County, California",6365,563,(X),(X),5641,507,88.6,4.4,724,303,11.4,4.4
1400000US06037104103,6037104103,"Census Tract 1041.03, Los Angeles County, California",3700,354,(X),(X),2919,327,78.9,4.4,781,177,21.1,4.4
1400000US06037104105,6037104105,"Census Tract 1041.05, Los Angeles County, California",5415,353,(X),(X),3430,384,63.3,5.3,1985,301,36.7,5.3
1400000US06037104108,6037104108,"Census Tract 1041.08, Los Angeles County, California",4827,454,(X),(X),3344,402,69.3,5.4,1483,296,30.7,5.4
1400000US06037104124,6037104124,"Census Tract 1041.24, Los Angeles County, California",4093,448,(X),(X),3335,445,81.5,4.8,758,197,18.5,4.8
1400000US06037104201,6037104201,"Census Tract 1042.01, Los Angeles County, California",4395,400,(X),(X),2825,327,64.3,4.1,1570,221,35.7,4.1
1400000US06037104203,6037104203,"Census Tract 1042.03, Los Angeles County, California",5023,485,(X),(X),2909,340,57.9,5.3,2114,374,42.1,5.3
1400000US06037104204,6037104204,"Census Tract 1042.04, Los Angeles County, California",3355,261,(X),(X),2189,198,65.2,4.3,1166,185,34.8,4.3
1400000US06037104310,6037104310,"Census Tract 1043.10, Los Angeles County, California",4931,560,(X),(X),2931,526,59.4,5.4,2000,241,40.6,5.4
1400000US06037104320,6037104320,"Census Tract 1043.20, Los Angeles County, California",5688,598,(X),(X),3238,612,56.9,7.6,2450,450,43.1,7.6
1400000US06037104401,6037104401,"Census Tract 1044.01, Los Angeles County, California",3568,374,(X),(X),1986,241,55.7,5,1582,270,44.3,5
1400000US06037104403,6037104403,"Census Tract 1044.03, Los Angeles County, California",3135,363,(X),(X),1867,304,59.6,5.2,1268,184,40.4,5.2
1400000US06037104404,6037104404,"Census Tract 1044.04, Los Angeles County, California",2757,208,(X),(X),1539,191,55.8,5.6,1218,179,44.2,5.6
1400000US06037104500,6037104500,"Census Tract 1045, Los Angeles County, California",2707,392,(X),(X),1559,267,57.6,4.8,1148,204,42.4,4.8
1400000US06037104610,6037104610,"Census Tract 1046.10, Los Angeles County, California",3217,311,(X),(X),1913,258,59.5,5.3,1304,209,40.5,5.3
1400000US06037104620,6037104620,"Census Tract 1046.20, Los Angeles County, California",3151,312,(X),(X),1839,260,58.4,4.9,1312,182,41.6,4.9
1400000US06037104701,6037104701,"Census Tract 1047.01, Los Angeles County, California",3963,240,(X),(X),2411,209,60.8,3.9,1552,180,39.2,3.9
1400000US06037104703,6037104703,"Census Tract 1047.03, Los Angeles County, California",2024,241,(X),(X),1235,208,61,7.1,789,171,39,7.1
1400000US06037104704,6037104704,"Census Tract 1047.04, Los Angeles County, California",4075,379,(X),(X),2882,419,70.7,7.7,1193,329,29.3,7.7
1400000US06037104810,6037104810,"Census Tract 1048.10, Los Angeles County, California",5440,559,(X),(X),3021,487,55.5,6.7,2419,438,44.5,6.7
1400000US06037104821,6037104821,"Census Tract 1048.21, Los Angeles County, California",3246,237,(X),(X),2133,306,65.7,7.4,1113,243,34.3,7.4
1400000US06037104822,6037104822,"Census Tract 1048.22, Los Angeles County, California",2523,284,(X),(X),1416,197,56.1,5,1107,180,43.9,5
1400000US06037106010,6037106010,"Census Tract 1060.10, Los Angeles County, California",3114,345,(X),(X),2592,371,83.2,4.9,522,141,16.8,4.9
1400000US06037106020,6037106020,"Census Tract 1060.20, Los Angeles County, California",5611,539,(X),(X),3949,482,70.4,5.6,1662,358,29.6,5.6
1400000US06037106111,6037106111,"Census Tract 1061.11, Los Angeles County, California",4389,399,(X),(X),3837,310,87.4,3.4,552,179,12.6,3.4
1400000US06037106112,6037106112,"Census Tract 1061.12, Los Angeles County, California",5466,601,(X),(X),4517,515,82.6,3.5,949,227,17.4,3.5
1400000US06037106113,6037106113,"Census Tract 1061.13, Los Angeles County, California",3477,262,(X),(X),2626,220,75.5,5.2,851,212,24.5,5.2
1400000US06037106114,6037106114,"Census Tract 1061.14, Los Angeles County, California",5781,438,(X),(X),4118,395,71.2,4.9,1663,320,28.8,4.9
1400000US06037106403,6037106403,"Census Tract 1064.03, Los Angeles County, California",3351,379,(X),(X),2258,311,67.4,5.9,1093,242,32.6,5.9
1400000US06037106405,6037106405,"Census Tract 1064.05, Los Angeles County, California",4080,650,(X),(X),2974,520,72.9,5.4,1106,286,27.1,5.4
1400000US06037106406,6037106406,"Census Tract 1064.06, Los Angeles County, California",5502,402,(X),(X),4380,413,79.6,6.2,1122,368,20.4,6.2
1400000US06037106407,6037106407,"Census Tract 1064.07, Los Angeles County, California",2824,304,(X),(X),2068,242,73.2,5.1,756,178,26.8,5.1
1400000US06037106408,6037106408,"Census Tract 1064.08, Los Angeles County, California",3334,281,(X),(X),2286,239,68.6,4.6,1048,182,31.4,4.6
1400000US06037106510,6037106510,"Census Tract 1065.10, Los Angeles County, California",5015,447,(X),(X),4364,431,87,3.5,651,182,13,3.5
1400000US06037106520,6037106520,"Census Tract 1065.20, Los Angeles County, California",5423,417,(X),(X),3913,436,72.2,4.8,1510,262,27.8,4.8
1400000US06037106603,6037106603,"Census Tract 1066.03, Los Angeles County, California",3107,185,(X),(X),2615,199,84.2,3.3,492,99,15.8,3.3
