Tract,Pct_Male_Ins,Pct_Female_Ins
400100,100,100
400200,100,100
400300,100,98.59550562
400400,100,81.98757764
400500,100,98.13084112
400600,100,100
400700,100,100
400800,87.64705882,92.89940828
400900,100,100
401000,81.41809291,100
401100,90.08264463,100
401200,100,100
401300,100,75.49019608
401400,96.97885196,90
401500,100,84.14634146
401600,100,100
401700,100,100
401800,84.03361345,100
402200,73.046875,93.43065693
402400,100,100
402500,100,90.67357513
402600,52.94117647,100
402700,94.25287356,94.50549451
402800,100,100
402900,100,74.07407407
403000,100,100
403100,100,100
403300,80.76923077,100
403400,100,100
403501,100,100
403502,100,66.66666667
403600,100,100
403701,66.34615385,100
403702,100,100
403800,100,100
403900,100,100
404000,100,81.66666667
404101,100,100
404102,100,100
404200,98.10725552,98.2630273
404300,100,100
404400,100,100
404501,100,100
404502,95.97701149,100
404600,100,100
404700,100,100
404800,81.36645963,100
404900,94.53551913,100
405000,100,100
405100,100,100
405200,100,100
405301,100,100
405302,100,67.08860759
405401,100,100
405402,100,70.18348624
405500,100,100
405600,100,100
405700,84.31372549,95.33333333
405800,100,92.45647969
405901,97.6284585,93.26765189
405902,87.55980861,95.34883721
406000,81.73913043,100
406100,92.1108742,98.20512821
406201,95.37037037,100
406202,82.80871671,91.09131403
406300,89.97214485,93.91727494
406400,100,98.75776398
406500,85.84229391,98.00664452
406601,100,93.08357349
406602,84.53947368,72.6744186
406700,100,100
406800,100,100
406900,92.24137931,100
407000,100,89.79591837
407101,100,100
407102,92.81914894,96.12676056
407200,82.58928571,75.15625
407300,69.48051948,97.63313609
407400,94.84777518,100
407500,78.01932367,80.82191781
407600,100,91.4893617
407700,100,100
407800,100,100
407900,100,93.65079365
408000,94.47513812,98.07692308
408100,100,100
408200,99.65277778,97.72727273
408300,90.23809524,94.11764706
408400,100,98.52008457
408500,91.08108108,93.13232831
408600,83.5443038,93.31306991
408700,100,95.40942928
408800,99.13043478,90.56603774
408900,94.78827362,89.5890411
409000,91.46757679,97.20670391
409100,100,100
409200,98.75389408,94.76744186
409300,100,89.77777778
409400,90.70063694,83.60957643
409500,86.92152918,81.66383701
409600,86.15107914,88.84381339
409700,98.03921569,92.84436494
409800,100,73.84615385
409900,95.89041096,100
410000,100,100
410100,95.26066351,84.46601942
410200,100,100
410300,92.78606965,100
410400,94.41489362,100
410500,100,91.37931034
420100,100,100
420200,100,94.36090226
420300,100,100
420400,93.87755102,100
420500,100,98.51632047
420600,100,100
421100,100,100
421200,100,100
421300,100,100
421400,93.44262295,95.36423841
421500,100,100
421600,100,100
421700,95.09803922,86
421800,100,100
421900,100,95.73170732
422000,100,100
422100,100,100
422200,100,100
422300,100,100
422400,100,100
422500,100,100
422600,90.24390244,100
422700,98.2300885,95.63409563
422800,97.41985927,99.62168979
422900,100,100
423000,100,100
423100,90.86538462,95.98214286
423200,100,86.58008658
423300,95.41984733,95.58823529
423400,95.13381995,100
423500,100,100
423601,100,100
423602,100,100
423700,89.59390863,100
423800,100,100
423901,100,100
423902,100,100
424001,100,100
424002,96.44970414,85.54913295
425101,100,100
425102,100,100
425103,100,100
425104,100,100
426100,92.02657807,100
426200,100,100
427100,100,100
427200,100,100
427300,93.92265193,100
427600,100,91.89814815
427700,95.81395349,100
427800,100,100
427900,100,100
428000,100,95.47738693
428100,97.06666667,89.12386707
428200,100,100
428301,93.19938176,84.48540707
428302,100,100
428400,86.25,93.51351351
428500,100,100
428600,100,92.2705314
428700,98.19121447,100
430101,97.17391304,97.62376238
430102,91.76470588,100
430200,100,100
430300,100,89.08629442
430400,95.86206897,100
430500,95.07772021,100
430600,100,100
430700,93.92857143,100
430800,100,100
430900,100,100
431000,100,92.78846154
431100,95.88014981,97.07792208
431200,100,100
432100,100,91.51785714
432200,100,100
432300,100,97.64397906
432400,96.8787515,100
432501,100,95.05813953
432502,100,100
432600,93.43283582,89.69465649
432700,100,100
432800,100,99.14893617
433000,100,100
433102,100,95.36423841
433103,100,94.23076923
433104,90.54054054,95.45454545
433200,100,95.97457627
433300,87.77985075,86.88118812
433400,100,96.67519182
433500,95.01915709,93.81188119
433600,100,96.85230024
433700,100,100
433800,94.59119497,85.18072289
433900,100,93.66515837
434000,98.08541973,95.82366589
435102,97.75280899,96.90402477
435103,95.43726236,100
435104,96.12903226,97.83783784
435200,100,100
435300,90.69767442,100
435400,100,88.91509434
435500,90,86.87782805
435601,95.28571429,91.54929577
435602,97.51131222,89.0052356
435700,100,98.7654321
435800,100,100
435900,100,98.16513761
436000,100,89.20187793
436100,100,93.89587074
436200,88.03245436,89.95327103
436300,100,91.93324061
436401,100,87.90459966
436402,93.67816092,100
436500,97.93510324,87.08609272
436601,100,94.72616633
436602,85.87443946,88.14814815
