Policy Area,Dataset,Variable,Year,Percent,Count,Tract,Tract Number,Neighborhood,GEOID,Location,Date,Row ID,Denominator,Denominator Description
Education,Chronic Absenteeism,Chronically Absent Students,2017,4.6511626,6,Census Tract 8003.31,800331,Westlake Village,1400000US06037800331,"(34.1572764, -118.79983879)",01/01/2017 12:00:00 AM,Chronically_Absent_Students_2017_1400000US06037800331,129,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2017,10.85044,37,Census Tract 2171,217100,Mid-Wilshire,1400000US06037217100,"(34.0489706, -118.35454176)",01/01/2017 12:00:00 AM,Chronically_Absent_Students_2017_1400000US06037217100,341,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2017,5.3164558,21,Census Tract 2716,271600,Mar Vista,1400000US06037271600,"(34.02121853, -118.43107578)",01/01/2017 12:00:00 AM,Chronically_Absent_Students_2017_1400000US06037271600,395,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2017,8.333333,51,Census Tract 1094,109400,Mission Hills,1400000US06037109400,"(34.26872263, -118.45570915)",01/01/2017 12:00:00 AM,Chronically_Absent_Students_2017_1400000US06037109400,612,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2017,12.643678,66,Census Tract 9010.08,901008,Lancaster,1400000US06037901008,"(34.69664725, -118.17482302)",01/01/2017 12:00:00 AM,Chronically_Absent_Students_2017_1400000US06037901008,522,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2018,10.526316,26,Census Tract 2214.02,221402,Harvard Heights,1400000US06037221402,"(34.03844796, -118.30905964)",01/01/2018 12:00:00 AM,Chronically_Absent_Students_2018_1400000US06037221402,247,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2017,8.3038874,47,Census Tract 4333.07,433307,El Monte,1400000US06037433307,"(34.06681831, -118.00626672)",01/01/2017 12:00:00 AM,Chronically_Absent_Students_2017_1400000US06037433307,566,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2017,10.416667,5,Census Tract 5408,540800,Willowbrook,1400000US06037540800,"(33.91795732, -118.25875001)",01/01/2017 12:00:00 AM,Chronically_Absent_Students_2017_1400000US06037540800,48,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2017,5.4487181,34,Census Tract 3105.01,310501,Burbank,1400000US06037310501,"(34.19465952, -118.33946313)",01/01/2017 12:00:00 AM,Chronically_Absent_Students_2017_1400000US06037310501,624,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2018,9.0534983,22,Census Tract 1973,197300,Echo Park,1400000US06037197300,"(34.07844616, -118.25456198)",01/01/2018 12:00:00 AM,Chronically_Absent_Students_2018_1400000US06037197300,243,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2018,10.631229,32,Census Tract 1345.21,134521,Canoga Park,1400000US06037134521,"(34.20463323, -118.59522211)",01/01/2018 12:00:00 AM,Chronically_Absent_Students_2018_1400000US06037134521,301,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2018,,,Census Tract 5302.03,530203,Montebello,1400000US06037530203,"(34.0266531, -118.12647261)",01/01/2018 12:00:00 AM,Chronically_Absent_Students_2018_1400000US06037530203,,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2018,10.779817,94,Census Tract 5713,571300,Lakewood,1400000US06037571300,"(33.83952998, -118.14943918)",01/01/2018 12:00:00 AM,Chronically_Absent_Students_2018_1400000US06037571300,872,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2017,11.527377,40,Census Tract 5332.03,533203,Huntington Park,1400000US06037533203,"(33.97428154, -118.20828752)",01/01/2017 12:00:00 AM,Chronically_Absent_Students_2017_1400000US06037533203,347,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2017,6.1377244,41,Census Tract 5032.01,503201,South Whittier,1400000US06037503201,"(33.9324967, -118.02666587)",01/01/2017 12:00:00 AM,Chronically_Absent_Students_2017_1400000US06037503201,668,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2018,7.1428571,12,Census Tract 5721,572100,Long Beach,1400000US06037572100,"(33.82374126, -118.20227166)",01/01/2018 12:00:00 AM,Chronically_Absent_Students_2018_1400000US06037572100,168,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2018,4.1666665,30,Census Tract 1153.01,115301,Northridge,1400000US06037115301,"(34.24266847, -118.54848834)",01/01/2018 12:00:00 AM,Chronically_Absent_Students_2018_1400000US06037115301,720,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2017,14.928426,73,Census Tract 2410.02,241002,Green Meadows,1400000US06037241002,"(33.92526687, -118.26141532)",01/01/2017 12:00:00 AM,Chronically_Absent_Students_2017_1400000US06037241002,489,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2018,11.140584,126,Census Tract 9102.07,910207,Palmdale,1400000US06037910207,"(34.59524373, -118.17439298)",01/01/2018 12:00:00 AM,Chronically_Absent_Students_2018_1400000US06037910207,"1,131",Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2018,3.90625,20,Census Tract 6707.02,670702,Rancho Palos Verdes,1400000US06037670702,"(33.75192817, -118.32630399)",01/01/2018 12:00:00 AM,Chronically_Absent_Students_2018_1400000US06037670702,512,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2018,10.942578,101,Census Tract 5344.06,534406,Cudahy,1400000US06037534406,"(33.96475454, -118.17498704)",01/01/2018 12:00:00 AM,Chronically_Absent_Students_2018_1400000US06037534406,923,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2017,5.0314465,64,Census Tract 5737,573700,Long Beach,1400000US06037573700,"(33.82659009, -118.10962624)",01/01/2017 12:00:00 AM,Chronically_Absent_Students_2017_1400000US06037573700,"1,272",Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2017,9.4159718,79,Census Tract 4340.03,434003,El Monte,1400000US06037434003,"(34.04644621, -118.02270594)",01/01/2017 12:00:00 AM,Chronically_Absent_Students_2017_1400000US06037434003,839,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2017,10.23766,112,Census Tract 5438.02,543802,Carson,1400000US06037543802,"(33.82935572, -118.26973277)",01/01/2017 12:00:00 AM,Chronically_Absent_Students_2017_1400000US06037543802,"1,094",Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2017,1.7467248,4,Census Tract 6704.05,670405,Rancho Palos Verdes,1400000US06037670405,"(33.7671062, -118.37490382)",01/01/2017 12:00:00 AM,Chronically_Absent_Students_2017_1400000US06037670405,229,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2018,7.4113855,69,Census Tract 5338.03,533803,Bell,1400000US06037533803,"(33.97477441, -118.18398874)",01/01/2018 12:00:00 AM,Chronically_Absent_Students_2018_1400000US06037533803,931,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2017,4.0540543,15,Census Tract 4809.03,480903,Alhambra,1400000US06037480903,"(34.07366541, -118.13936121)",01/01/2017 12:00:00 AM,Chronically_Absent_Students_2017_1400000US06037480903,370,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2017,1.4705882,2,Census Tract 2147,214700,Beverly Grove,1400000US06037214700,"(34.06650173, -118.36616508)",01/01/2017 12:00:00 AM,Chronically_Absent_Students_2017_1400000US06037214700,136,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2018,9.0452261,36,Census Tract 5308.02,530802,East Los Angeles,1400000US06037530802,"(34.05228782, -118.18133022)",01/01/2018 12:00:00 AM,Chronically_Absent_Students_2018_1400000US06037530802,398,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2018,12.303665,47,Census Tract 1330,133000,Reseda,1400000US06037133000,"(34.19534018, -118.55774554)",01/01/2018 12:00:00 AM,Chronically_Absent_Students_2018_1400000US06037133000,382,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2018,8.6267605,49,Census Tract 5520.01,552001,Norwalk,1400000US06037552001,"(33.91237123, -118.09519004)",01/01/2018 12:00:00 AM,Chronically_Absent_Students_2018_1400000US06037552001,568,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2017,9.4382019,42,Census Tract 3023.01,302301,Glendale,1400000US06037302301,"(34.14468807, -118.26325677)",01/01/2017 12:00:00 AM,Chronically_Absent_Students_2017_1400000US06037302301,445,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2017,11.688312,63,Census Tract 5014,501400,Whittier,1400000US06037501400,"(33.98198262, -118.04741384)",01/01/2017 12:00:00 AM,Chronically_Absent_Students_2017_1400000US06037501400,539,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2017,8.7962961,19,Census Tract 1834.01,183401,Highland Park,1400000US06037183401,"(34.12167105, -118.20923841)",01/01/2017 12:00:00 AM,Chronically_Absent_Students_2017_1400000US06037183401,216,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2018,6.521739,12,Census Tract 1892.01,189201,Los Feliz,1400000US06037189201,"(34.10358775, -118.2961727)",01/01/2018 12:00:00 AM,Chronically_Absent_Students_2018_1400000US06037189201,184,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2017,3.9370079,5,Census Tract 4624,462400,Pasadena,1400000US06037462400,"(34.16352392, -118.12670609)",01/01/2017 12:00:00 AM,Chronically_Absent_Students_2017_1400000US06037462400,127,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2017,5.3351574,39,Census Tract 1198,119800,Arleta,1400000US06037119800,"(34.23379681, -118.43014273)",01/01/2017 12:00:00 AM,Chronically_Absent_Students_2017_1400000US06037119800,731,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2018,0,0,Census Tract 2077.10,207710,Downtown,1400000US06037207710,"(34.04767294, -118.25703294)",01/01/2018 12:00:00 AM,Chronically_Absent_Students_2018_1400000US06037207710,29,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2017,15.400411,75,Census Tract 5702.04,570204,Long Beach,1400000US06037570204,"(33.87163769, -118.15562507)",01/01/2017 12:00:00 AM,Chronically_Absent_Students_2017_1400000US06037570204,487,Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2017,7.5091577,82,Census Tract 4058,405800,Covina,1400000US06037405800,"(34.10339928, -117.91269196)",01/01/2017 12:00:00 AM,Chronically_Absent_Students_2017_1400000US06037405800,"1,092",Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2017,6.3432837,85,Census Tract 4047.02,404702,Baldwin Park,1400000US06037404702,"(34.07076439, -117.98503489)",01/01/2017 12:00:00 AM,Chronically_Absent_Students_2017_1400000US06037404702,"1,340",Enrolled Students
Education,Chronic Absenteeism,Chronically Absent Students,2017,7.3239436,78,Census Tract 9201.18,920118,Castaic,1400000US06037920118,"(34.45925795, -118.62257396)",01/01/2017 12:00:00 AM,Chronically_Absent_Students_2017_1400000US06037920118,"1,065",Enrolled Students
