Tract,Pct_Married,Pct_Widowed,Pct_Divorced,Pct_Separated,Pct_Never_Married
101110,46.9,6,11.5,1.2,34.5
101122,57.9,4,9.5,2.9,25.7
101210,43.7,4.4,8.2,4.4,39.2
101220,48,7.4,8.8,2.7,33.2
101300,51.5,6.8,10.3,0.1,31.2
101400,46,3.4,13,3.4,34.2
102103,52.9,8.3,9.4,2.3,27.2
102104,56.4,6.9,6,1.6,29.1
102105,39.5,1.9,16.7,0.2,41.7
102107,48.7,7.3,5.7,1.6,36.7
103101,57.8,5.7,10,0.8,25.6
103102,49.9,6.3,11.7,1.6,30.6
103200,45,8.9,11.7,0.9,33.6
103300,57.5,7.3,9.2,1.7,24.3
103400,51.2,7.1,8,1.1,32.5
104103,47.4,5.3,6.8,1.7,38.8
104105,42.1,3.1,6.6,4,44.2
104108,40.9,5.5,10,5.8,37.8
104124,44.6,4,10.3,0.9,40.3
104201,35.8,4.2,7,3.4,49.6
104203,45.8,4.3,6.5,2.2,41.2
104204,37.3,6.2,7,3.9,45.6
104310,43.8,2.9,4.9,3,45.4
104320,34.6,5.2,5.7,4,50.4
104401,50.1,3.1,2.3,3.9,40.6
104403,48.6,5.1,3.5,4.2,38.6
104404,41.4,2.8,4.4,2.3,49.1
104500,39.4,4.7,7.5,3.4,45.1
104610,36,6,7.5,3.3,47.3
104620,41.9,3.7,6.4,2.3,45.7
104701,39.5,2.1,2.3,4.3,51.7
104703,54.9,2.9,7.6,2.1,32.6
104704,28.9,5.7,6.7,3.7,54.9
104810,43.7,5.1,6.8,3.3,41.1
104821,39.5,3.9,4,2.6,50
104822,39,4.2,8.9,3.7,44.2
106010,44.5,5,7.8,4.4,38.4
106020,43.7,3.3,7.7,4.1,41.2
106111,53.8,3.1,9.8,1.2,32.2
106112,47.8,3.3,8.2,1.1,39.5
106113,53.2,3.4,8.1,3,32.3
106114,37.5,4.7,8.9,1.1,47.8
106403,41.4,4.7,8.9,3,42
106405,42.4,6,8.8,1.1,41.8
106406,49,5.3,8.1,1.8,35.7
106407,33.9,4.4,13.5,4.2,44
106408,34.5,2.9,8.9,8.9,44.7
106510,46.5,4.1,8.1,3,38.4
106520,38.8,6.2,7.3,3.9,43.8
106603,62.9,5.3,2.9,1.4,27.5
106604,46.4,5,7.7,2.9,38
106641,57.8,8.4,4.7,1.9,27.3
106642,57,6.5,2.3,0.6,33.6
106643,55.8,4,8.8,1.1,30.3
106645,60.7,7.3,3.6,2.6,25.8
106646,48.1,10.1,11,3,27.8
106648,40.6,3.2,7.5,4.1,44.6
106649,49,3.8,5.6,1.8,39.8
107010,40.8,4.6,7.6,2.4,44.6
107020,46.6,3.1,4.3,1,45
108101,66.3,6.2,6,1.3,20.1
108102,63.9,7.5,7.8,0.9,19.9
108103,62.9,3.8,4.5,1,27.7
108104,55.8,7.2,7.4,1.1,28.6
108201,67.9,5.9,6.5,1.1,18.5
108202,65.6,6.6,5.9,2.1,19.7
109100,42.9,11.7,5,2.4,38
109200,51.2,4.4,13,2,29.4
109300,49,7.4,4.9,2.5,36.3
109400,38.6,6.7,8.9,4.1,41.6
109500,47.8,2.7,4.8,2.4,42.3
109601,48.6,4.9,7.6,4.3,34.7
109603,32.7,7.2,6.7,6.8,46.6
109604,45.4,5.5,8.9,2.7,37.6
109700,50.2,3.7,10.4,0.7,35.1
109800,49.9,6.2,8.7,4,31.2
111100,53,3.3,7.8,2,34
111201,50.8,6.9,4.6,2.5,35.3
111202,47.2,5.6,8.3,1.7,37.2
111204,59.4,3.9,5.5,1.3,29.8
111205,46.5,4.6,4.9,2,42
111206,55.8,7.3,6,0.6,30.3
111301,49.8,5.5,9.7,2.2,32.7
111302,36.5,6.2,10,2.6,44.7
111400,46.4,5.7,8.9,2.2,36.8
113101,56.4,7.9,5.5,0.3,29.9
113102,57.3,6.8,4.6,1.2,30.2
113211,60.9,5.2,9.1,2.2,22.6
113212,45.3,6.3,13.3,0.9,34.2
113213,37.7,5.9,14.5,2,39.9
113231,57.8,5.2,8.4,2.9,25.7
113232,57.6,10.2,8.5,0,23.7
113233,35.1,4.5,11.7,3.2,45.5
113234,41.8,6,12.9,4.7,34.6
113235,52,5.3,15,2.2,25.5
113237,45,5,9.8,1.6,38.6
113301,58.3,7.8,5,1.5,27.4
113303,46,7.3,10.3,2,34.3
113321,38.2,1.5,11.1,4.1,45.1
113322,51,8.8,7.4,1.1,31.8
113401,50.7,5.9,7.3,2.2,33.9
113421,40.9,4.4,11.2,4.1,39.5
113422,42.4,3,11.8,0.7,42.1
115101,59.6,5.9,3.7,2.2,28.6
115103,4.3,0.1,0.9,0.5,94.3
115104,28.5,4.4,9,0.4,57.8
115201,29.9,3,9.3,2.3,55.6
115202,37,2.4,7.6,1.2,51.9
115301,42.1,9.5,12.6,2.7,33.1
115302,43.4,3.1,5.8,2.2,45.5
115401,47.8,1.5,6.6,2.1,42.1
115403,45.8,2.7,7,1.7,42.8
115404,36.5,5.6,10.9,3.7,43.3
117101,43.6,5.3,7.2,2.4,41.5
117102,47.8,4.4,8.4,4.4,35
117201,48.7,4.7,7.6,2.6,36.4
117202,52.7,4.5,8.8,0.3,33.6
117301,42.7,6.4,10.1,2.3,38.5
117302,51.9,8,6.5,0.2,33.4
117303,49.4,5.5,5.3,0.6,39.2
117404,38.7,8.1,8.2,3.1,41.9
117405,33.3,2.1,6.1,2.6,55.9
117407,44.9,0.2,3.7,4.5,46.7
117408,32.1,2.4,8.4,3.9,53.3
117510,44.5,2.7,4.6,4.7,43.6
117520,36,3,7.8,4.2,49
117530,34.6,2.3,7.8,5.8,49.5
119001,51.3,4.5,4,0.5,39.6
119002,47.3,4.2,4.4,1.9,42.2
119201,48.2,4.7,5,1.9,40.2
119202,42.2,3.3,7.9,4.2,42.4
119310,41.5,6.4,7.3,2.7,42.1
119320,47.1,3,6.1,4.3,39.5
119340,45.4,2.8,3.5,2.7,45.6
119341,40.5,6.1,7.9,2.9,42.6
119342,46.1,2.2,5.3,3.8,42.7
119400,41.2,6.3,6.6,3.4,42.5
119700,54.2,6.9,5.2,2,31.8
119800,41.9,5.2,5,2.4,45.6
119900,47.7,5.4,8.5,1.6,36.8
120010,47.1,3.3,8.7,2.1,38.6
120020,48.4,4.9,1.8,2.7,42.2
120030,40.3,3.2,5.8,4.8,45.9
120103,38.6,2.5,6,1.5,51.4
120104,37.9,4.7,6.5,3.6,47.3
120105,46.6,6.4,5.4,1.5,40.1
120106,40.1,1.5,4.2,2.4,51.7
120107,37,2,5.7,3.1,52.3
120108,32.6,5.3,9,5.3,47.8
120300,45.9,6.3,6.4,4.7,36.7
120400,42,6.2,7.2,3.7,41
121010,42.6,7.9,7,1.3,41.3
121020,46.1,3.3,6.7,1.7,42.3
121101,41.1,3.2,11.2,1.1,43.3
121102,41.8,5.8,13.7,2.9,35.8
121210,38.4,6.7,8.5,2.3,44.2
121221,47.2,5.7,6.6,2,38.5
121222,39.3,3.9,8.1,3.3,45.3
121600,48.5,6,5.7,3.2,36.6
121801,38,3.5,9.1,5.4,44
121802,38.2,4,8.9,2.3,46.6
121900,36.4,6.5,7.2,4.4,45.5
122000,40.5,8.5,8.1,1.2,41.7
122120,42.1,3.6,7.9,0.9,45.5
122121,41,6.2,6.9,2.6,43.2
122122,39.4,4.9,4.1,2.4,49.2
122200,45.1,2.9,3.6,2.6,45.8
122410,34,3.9,8.8,2.6,50.6
122420,43,0.7,8.2,2.3,45.7
123010,41.5,3.8,5.5,4.1,45.1
123020,38.4,4.5,4.2,4,48.8
123103,38.5,8.8,8.3,5.3,39.1
123104,39.1,6.9,9.6,3.1,41.3
123203,39.1,1.1,6,2.9,50.9
123204,42.6,2.2,6.9,3.3,45
123205,42.7,1.5,5.7,6.6,43.5
123206,38.3,3.1,7.9,6,44.7
123301,40.4,6.3,8.8,0.2,44.3
123303,43,6.4,9.7,0.9,40
123304,43,8.2,8.2,1.7,38.9
123410,41.8,3.5,9,3,42.7
123420,45.2,4.2,2.6,3.6,44.5
123510,39,7.5,8.3,3.3,41.8
123520,45.3,4.3,7.7,2.6,40.1
123601,44.8,5.7,9.8,1.1,38.6
123602,45,5.9,11.3,1.2,36.6
123700,42.9,5.1,7.8,2.1,42
123800,37.9,1.4,12.6,3.3,44.9
123901,46.5,3.4,8.5,0.7,40.9
123902,37.8,4.4,14.4,5.1,38.3
124000,43.9,8.2,14.5,2.7,30.7
124102,33.9,2.4,8.5,2.2,53
124103,48.5,4.7,6,1.8,39
124104,33,2.6,6.2,3.1,55.1
124105,45.6,2.6,2.9,1.4,47.6
124201,55.9,6.3,6.6,0,31.2
124203,37.6,2.3,11.2,2.2,46.6
124204,33.8,1.1,6.2,3.1,55.7
124300,31.7,6.7,8.5,7.7,45.4
124400,44.8,3.3,8.5,1.5,41.8
124500,40.6,5.3,16.8,1.3,36
124600,36.5,3.9,18.9,4.9,35.8
124700,44.7,4.1,9.1,2.3,39.7
124902,25.3,6.6,15.7,2.7,49.7
124903,29.4,4.4,13.4,3.7,49.1
125100,31.8,4.8,13.3,3.8,46.4
125200,40.8,2.3,9.3,4.3,43.2
125310,26.3,2.5,11.1,5,55.1
125320,28.1,1.8,8.5,4.7,56.9
125401,27.3,1.8,9.9,0,61
125402,34.6,1.1,8.8,1.5,54.1
125501,35.9,4.3,8.7,2.5,48.6
125502,27.1,4.8,11.3,1.7,55.1
125600,40.7,4.7,16.4,0.9,37.3
127102,34.1,3.9,9.6,4.2,48.1
127103,39.4,2.8,6.4,2.3,49.2
127104,36.7,4,7.3,1,51.1
127210,41.6,4.8,6.7,4.2,42.7
127220,36.5,6.6,10.1,5.5,41.3
127300,40.2,4.2,7.5,2.6,45.6
127400,44.7,1.6,6.7,2.7,44.3
127520,35.3,4,5.2,4.8,50.7
127603,38.8,3.8,3.9,4.6,48.9
127604,43.1,4.3,10.9,4.2,37.6
127605,41.8,0.8,5.5,4.1,47.8
127606,36,5.4,12.5,3.1,42.9
127711,43,2,8.8,4.9,41.4
127712,44.8,4.1,9.2,2.7,39.2
127803,39.2,6.3,7.4,6,41
127804,38,3.6,9.2,3.8,45.4
127805,38,3.9,6.9,2.5,48.6
127806,31.4,6.2,10.3,1.1,51.1
127910,40,2.7,8.4,3.6,45.2
127920,48.6,2.5,5.8,2.7,40.4
128101,43.8,2.6,9.3,3.6,40.7
128102,40,2.8,6.3,2.9,48
128210,34.1,3,4.3,4.5,54.1
128220,37.7,3.8,8.6,2.9,46.9
128302,31.5,3.4,6.7,4.9,53.4
128303,36.9,3.4,8.7,4.2,46.8
128400,40.3,3.2,13.2,2.1,41.2
128500,39.2,4.5,16.7,2,37.7
128601,37.6,4.8,5.3,4.8,47.5
128602,42.4,4,12.1,2.6,38.9
128702,38.3,4,16.8,2.7,38.2
128801,33.8,7.9,13.8,2,42.5
128802,36.6,9.1,8.5,4.7,41.2
128910,45.9,2.6,14.4,1.9,35.2
131010,45,2,5.8,4.3,42.9
131020,37.5,3.3,9.5,1.7,47.9
131100,43.2,5.4,12.1,2.2,37.1
131200,50.5,3.6,6.5,1.6,37.8
131300,48.2,5.1,6.3,1.5,39
131400,41,6.2,10.7,4.8,37.3
131600,40.6,6.5,5.8,1.9,45.2
131701,34.8,4.1,11.2,4.6,45.3
131702,43.8,2.4,13.8,1.4,38.6
131800,43.3,6.4,10.3,2.5,37.4
131900,52,4.3,7.8,2.2,33.7
132001,49.9,5.3,11.8,3.3,29.7
132002,39.7,8.5,11.1,0.9,39.8
132101,40.3,7.3,11.5,0.7,40.2
132102,38.6,4.9,11.6,2.6,42.3
132300,46.8,5,7.3,2.5,38.4
132501,33.6,11.2,13.7,2.7,38.7
132502,33.1,6,13,1.2,46.7
132700,44.7,6.5,7.4,4.6,36.7
132900,51.2,7.9,8.2,2.1,30.6
133000,50.4,9.5,6.6,4.4,29.2
133100,42,10.5,9.9,1.3,36.2
134001,43.2,2.5,4.7,1.8,47.8
134002,37.9,4.2,12.8,2.5,42.6
134101,49.4,3.3,8.1,0.6,38.5
134103,46.9,4,9.6,7.3,32.2
134104,47,3.9,6.7,2.4,40
134201,46.6,5.5,6.3,2,39.5
134302,53.1,5.9,9,0.9,31.1
134303,44,6,10.5,2.3,37.3
134304,48.2,7.6,10.6,1.3,32.3
134305,42,3.1,7.9,5.1,41.9
134306,36.9,6.5,9.6,5.7,41.3
134421,60.9,6.2,7.1,0.4,25.4
134422,47.4,6.6,14.6,3.4,28.1
134423,55.3,8.8,8.2,0,27.8
134424,69.4,2.8,3.3,0.7,23.8
134520,37.3,5.9,5.7,4.3,46.9
134521,37.6,2.8,3.5,3.5,52.5
134522,37.2,2,8.3,1.1,51.3
134710,41.5,3.4,8.3,1.4,45.4
134720,42.3,4.6,7.8,4.6,40.7
134800,46.1,3.3,7.3,2.8,40.5
134901,46.1,7.2,15.2,0.9,30.6
134903,39,2,5.7,1.2,52.1
134904,35.7,3.5,11.5,3.4,45.8
134905,39.9,2.8,11.5,2.7,43.2
