Tract,Pct_Moved_In_County,Pct_Moved_Diff_County,Pct_Moved_Diff_State,Pct_Moved_Intl
101110,2.6,3.3,0.7,0
101122,4.5,5,0,0
101210,3.7,0,0,0
101220,5.4,0.3,0.5,1.6
101300,4.7,0,0.8,0
101400,2.9,1.7,0,0.2
102103,3.8,0,0,0
102104,7.3,1.4,0.5,0.2
102105,1.8,0,0,0.5
102107,6.4,1.7,0,1
103101,4.6,0.8,0.2,0.7
103102,6.8,0.4,0.2,0.8
103200,4.4,0.1,0.5,0
103300,4.4,0,0,1.1
103400,2.9,0.5,0,0
104103,1.6,0.5,0.9,0.2
104105,4.9,0,0.3,1.7
104108,11.1,0.4,0.2,0
104124,10.6,0.7,0.6,0.3
104201,3.2,0.8,0,0.5
104203,9.1,0,0,0.2
104204,4,1.2,0,0.3
104310,3.7,0.6,0.3,0.7
104320,4.4,0.9,0.2,0.6
104401,3.8,0,0.2,0.3
104403,1.9,0.8,0,0.7
104404,7.7,0,0,0
104500,7.4,0.2,0.2,0
104610,1.2,0,0,0
104620,10,0.5,0,0.1
104701,3.3,0,0,0
104703,15.8,1,0,2.5
104704,9.7,0.4,0,0.3
104810,8.1,0.5,0,0.1
104821,3.6,0,0,0
104822,6,0,0,1.1
106010,11.5,0.1,0.3,0.2
106020,4,0,0.4,0.4
106111,4.9,1.7,0.5,0
106112,5.3,0.1,0.2,0
106113,6.8,0.1,0.1,0.6
106114,4.9,1.1,0.3,0.2
106403,1.2,0.3,0,0
106405,8.9,1,2.1,0
106406,6.4,1.2,1.1,0.3
106407,8.5,1.1,0,0
106408,17.5,0,0,0.7
106510,11.8,1.6,0.7,0
106520,5.2,0.1,0.1,0.3
106603,5.2,0.5,0.3,0.7
106604,2.4,0,0.4,0.4
106641,6.4,0.5,0.4,1
106642,2.8,0.3,0.5,0
106643,3.5,0,0,0
106645,4.6,0.4,0.5,0.5
106646,7.7,0.6,0,0.2
106648,8.1,0.2,0,0
106649,3.6,0.3,0.2,0.3
107010,2.9,0,0.4,0.4
107020,6.5,0,0,0
108101,8.9,0.6,0,0.3
108102,7.4,2.5,0,2.3
108103,3.8,0.8,0,0.4
108104,1.9,0.3,4.1,0
108201,6.4,1.8,0.5,0
108202,9.5,2.3,1.1,0.9
109100,5.6,0.1,0,0
109200,12.3,0.9,0,0.2
109300,6.6,0.6,0.1,0.2
109400,5.6,3.7,0,0
109500,5.8,0.6,0,0.3
109601,3.7,0,0.4,0.3
109603,8.5,0.7,1.4,0.4
109604,5.8,0,0.3,1.4
109700,6.2,0.2,0.9,0
109800,9.5,0,0.3,0.3
111100,5.6,0.3,0.8,1.1
111201,6,0,0.4,0
111202,9,0.2,0.9,0
111204,5.6,0.3,1.6,0.7
111205,13.8,0.2,0,0.2
111206,5.7,0.5,0,0.1
111301,15.1,0.8,0.8,0.6
111302,8.1,0.4,0.6,0.4
111400,11.3,0.3,1,0.2
113101,4.7,0.5,0,0
113102,5.4,3.2,1.1,0
113211,7.9,0,0.3,0
113212,9.4,0.1,0.1,0.7
113213,6.3,1.2,0.2,0.5
113231,8.8,1.4,0.4,0
113232,8.6,0,1.6,0
113233,9.9,5.9,1.4,0.9
113234,4.5,2.7,0.2,0.7
113235,15.3,3.4,0,0
113237,10.4,0,0,0
113301,11,0.8,1.5,0
113303,7.9,1.3,0.2,0.6
113321,14.4,3.7,0.6,0
113322,3.2,0.7,0.6,0.9
113401,11.8,0.6,1.5,0.1
113421,12.8,1.5,0.4,1.1
113422,13.7,1.4,1,0.2
115101,6.9,0.4,0,0.3
115103,29.8,17.2,4.5,4.7
115104,20.4,4.9,2.6,0.2
115201,14.4,0.8,0.9,1.2
115202,12.6,2.4,0.8,0.4
115301,10.2,1.3,0.9,0.4
115302,8.4,0.8,0,0.8
115401,8.9,0.2,0.9,0.9
115403,14.3,0.1,0.4,0.8
115404,8.3,0.2,0.2,0.5
117101,12.3,0,0.4,0.5
117102,4.5,1.9,0,0
117201,11.4,0.7,0.6,0
117202,10.8,0.3,0.2,1.7
117301,4.6,0.3,0.3,0.3
117302,11,0,0,1.9
117303,2.2,0.1,0,0.6
117404,12.3,1.2,0.3,0.7
117405,15.6,0.5,0.5,1.8
117407,12.3,0.6,0,1.7
117408,12.9,0,0,0.4
117510,8.7,0.4,0.4,0.8
117520,14.7,1.9,0.8,1
117530,7.8,0.3,0.8,0.3
119001,7,0.4,0,0.2
119002,8.2,0.2,0,0.1
119201,4.4,0,0,0.2
119202,11.3,0,0.3,0.4
119310,10.3,0.8,4.6,1.3
119320,16.5,0.8,0.5,0.2
119340,13.5,0,0,0.2
119341,8.2,0,0,0.3
119342,7.5,0.3,0.2,1.1
119400,2.7,0.6,1.6,0
119700,3.2,0,0,1.5
119800,4.7,0.4,0.8,0
119900,9.9,1,0,0
120010,9.2,0,0.2,0.4
120020,7.7,0,0,1.2
120030,8.1,0,0,1.3
120103,14.7,0.2,0.3,0
120104,16.8,0.6,1.1,0.8
120105,11.9,1.3,0.4,1.3
120106,6,0,0,0.9
120107,10,0.3,2.1,0.9
120108,9.1,0,0,0
120300,3.9,1.2,0.5,0
120400,9.9,0.5,0,0.5
121010,2.1,0,0,0
121020,3.4,0.5,0.4,0.6
121101,7,0.4,0,0.5
121102,6,0.3,0.5,1.2
121210,2.6,0.6,0,0.5
121221,7.2,0.1,0,0
121222,6.4,0,0,0
121600,4.1,0,0,0
121801,9.6,0,4,0.5
121802,14.1,1.7,0.8,0.2
121900,1.5,0.7,0,0.9
122000,3.2,0,0.8,0.1
122120,1.3,0,1.1,0.2
122121,5.1,0,0.4,0.4
122122,4.5,0,0,0
122200,3.3,0,0.6,0
122410,4,0.7,3.4,0
122420,2.1,0.2,1.4,0
123010,4.9,1.4,0.3,0.2
123020,4,0,0,0
123103,9.5,0,0.7,0.4
123104,8,0.1,0,0.1
123203,5.9,0.1,0.3,0
123204,6.2,0,0.2,0.7
123205,3.8,0.5,0.7,0
123206,4.6,0,0.1,0
123301,8.7,0.2,2.2,0
123303,3.7,1.1,0.1,2.3
123304,1.3,0,0.5,1.1
123410,7.7,0.5,0.5,1.5
123420,5.3,0,0.5,0
123510,8.9,0.1,1.1,0.4
123520,6.2,0,1.2,1
123601,11.3,0.5,1,0
123602,4.2,0.3,0,0.3
123700,3.6,0.4,1.8,2.1
123800,3.7,2.8,0.5,0.5
123901,3.4,0,1,0.2
123902,19.2,0.6,3.2,0.5
124000,7.4,4.5,2.7,0.4
124102,12.5,1.8,0.1,3.5
124103,1.4,0,0,0
124104,4.3,0.2,0.8,1
124105,6.2,0.7,1.9,0.3
124201,4.3,0,0,0
124203,7.9,0.2,0.1,0.9
124204,9.1,0.9,1.3,1.1
124300,9.4,1.2,1.5,0.2
124400,9.8,2.3,1.2,0.4
124500,5.9,0,4,0
124600,12.6,0.7,1.8,0
124700,10.7,4,2.1,0.3
124902,18.8,2.5,4.5,1.1
124903,11.1,1.4,2.6,0.6
125100,16.5,1.8,1.4,1.1
125200,7.7,0.3,1.8,0.5
125310,10.3,1,1.2,0.9
125320,16.3,3.8,2.8,0.4
125401,12.4,0.4,8.7,0
125402,9.5,2,5.4,0.6
125501,16.9,0.3,0.7,0.9
125502,11,3.1,1.5,0.8
125600,7.4,0.6,0.5,0.4
127102,11.5,0,0.1,0.5
127103,13.3,0.3,1.3,1.1
127104,10.5,0,0,0.6
127210,5.8,0.5,1.7,0.2
127220,15.2,0,0.7,0
127300,10.8,1.6,0.2,1.2
127400,9,0,0,2.7
127520,14,1.3,0,0.3
127603,8.5,0,0.9,1.5
127604,11,1.3,1.1,0.2
127605,9.3,0,0.3,0.6
127606,13.6,0,0,0
127711,17,0,0.8,0
127712,14.6,1.3,0.3,0.3
127803,11.5,0,1.1,1.6
127804,15.6,1.2,2.4,1.1
127805,10.2,0.4,0,0
127806,14.8,0,0.6,0
127910,7.6,0.6,0,0
127920,7.5,0.2,0,1.4
128101,1.7,0,0,0.3
128102,13,0,0.4,0.5
128210,7.9,0,1.1,0
128220,18.1,1.1,0.9,0.6
128302,8.6,0.6,0.3,1.8
128303,15.9,0,0,0
128400,10.3,1.3,2,0
128500,16.2,1.1,1.4,1.2
128601,10.2,1.1,3.1,0.7
128602,6.1,0.6,0.6,0.6
128702,16.6,0,0.9,0
128801,11.1,4.7,1.5,1
128802,10.6,3,0.2,0.3
128910,9.4,0.8,3.6,1.7
131010,6.7,0.2,0.4,0.7
131020,4.9,0,0.7,0.3
131100,6.8,0,0.1,0
131200,6.9,0.4,2.9,0
131300,10.5,0,1,0
131400,9,0.8,0.2,0.1
131600,4,0.7,0.5,0.2
131701,6.3,0.3,0.2,0.8
131702,10.6,0.6,0,0
131800,5.7,0.3,0.8,0.5
131900,2.1,0.4,0.7,0
132001,6.4,0.4,0.7,0
132002,6.4,0.3,1,0
132101,9,0,4.4,0.1
132102,10.6,0.6,2.1,1.3
132300,6,0,1,0
132501,9.5,1.2,0.2,0
132502,11.8,0.2,0.3,0.6
132700,5.9,0.5,0,0.5
132900,7.3,0,0.3,4.6
133000,4.2,0.3,0,0
133100,7.3,1.2,0.7,1.8
134001,4.8,0.5,0.3,0.4
134002,13.2,1,0.6,0.4
134101,4.6,0.2,0.2,0.5
134103,8,1.1,0,0
134104,7,0.7,0.4,0.9
134201,8.1,0,0.3,0
134302,3.7,0.6,0.5,0.1
134303,8.1,1.1,0.2,0.4
134304,8.6,1.1,0.5,1.2
134305,7.4,0.2,0.3,0.2
134306,7.8,0.4,1.9,0.7
134421,10.4,0.9,0.2,1.1
134422,6.1,0,0.6,0
134423,6.9,0.7,1.9,0
134424,3.8,0,0.3,0.6
134520,9,1,0.6,0.5
134521,9.2,0.1,0,0.2
134522,13.3,0.2,0.9,0
134710,11.2,2.3,0,1.8
134720,11.3,0,0.3,1
134800,3.8,0.6,0.8,0.4
134901,3.8,1.1,0,0
134903,22,1.5,1.4,2.5
134904,12.8,0.4,0.7,1.8
134905,27.8,6.6,2.8,1.1
135102,8.2,3.4,1,0.2
135111,4.8,0,0.1,0
135113,16.7,2.5,0.9,2.8
135114,22.5,3.5,3.1,4
135201,7.4,0.4,1,0.7
135202,6.3,0,1.1,0.2
135203,8.6,0.4,0.4,1.5
137000,9.7,0,0.7,0
137103,14.9,0.4,3.8,1
137104,2.3,0.7,0,0
137201,10.4,0,0,3.5
137301,7.6,0.4,1,0.3
137302,9.4,0,0.6,0.4
137401,8.5,0.5,0.7,0.5
137402,6.3,0.7,0.7,0
137501,19.3,4.3,3.8,1.7
137502,13.6,2.3,2.7,0.6
137504,10.1,0.8,1.5,0.2
138000,8.6,0.3,1.1,0.2
139001,10.2,0,1.5,0.2
139200,9.7,1.2,4.1,1
139301,6.1,0.2,1.1,0.4
139302,17.8,1.8,0.8,2.4
139303,17.1,0.6,1.2,1.3
139401,7.7,1.1,4,1.1
139402,6.6,0,0.2,0
139502,15.2,0,0,0.5
139503,17.1,1.4,0.5,0
139504,12.8,3.1,2.8,2.3
139600,7.5,0.2,3.7,0.7
139701,4.4,2.5,0,0.6
139702,4.5,0.3,0,1.1
139703,7.2,0.2,1,0.4
139801,1.4,0,1.1,0.6
139802,2,0.8,0.2,0.2
141101,15,1.4,5.8,1
141102,16.3,0.7,2.5,0
141201,15.7,3.5,3.7,0
141202,9.7,2.2,2.1,1.1
141302,13.3,4.2,4.3,0.5
141303,14.4,1.1,0.9,1.9
141304,13.5,0.3,1.5,0.3
141400,4.1,1.5,0.2,1
141500,7.2,1.3,0,0
141600,7.8,0.7,0.8,2.4
141700,3,1.3,1,0
143100,9.9,0.4,1.2,0
143200,15.7,4,3.4,0.3
143300,10.8,1.1,2.2,0.4
143400,8.1,1.4,2.5,0.3
143500,7.9,0.5,4.5,0.9
143602,9.5,0.4,2.7,0
143603,10.6,1,3.3,1.9
143604,15.5,4.6,14.7,4.4
143700,6.5,0.4,4.2,0.2
143800,14.6,1.9,1.2,0
143901,6.5,0.8,1.1,0
143902,8.2,0,1.8,0.4
181000,6.5,1.4,0,0.2
181300,3.7,0.6,0.2,0
181400,7.2,0.3,1.5,1.7
181500,4,0,0.3,0.3
181600,12.2,5.1,3.5,2.9
183101,5,0.1,0,1
183103,7.6,2,0.6,0
183104,2.4,0.3,0.6,0
183220,6.9,0.4,0,0
183221,8.4,0.6,0,1.7
183222,14.1,0,0.9,0.6
183300,6.5,0,1.8,0.9
183401,5.9,0.9,0.4,0.9
183402,11.3,1.3,0.9,0.2
183510,5.3,0,0,0
183520,10.1,0,0.7,0
183610,6.5,0.7,0,0.4
183620,10.9,0,0.4,0
183701,10,0.3,1.4,0.5
183702,15.8,0.6,0,0.5
183810,10.5,1.5,1.6,1
183820,12.1,0,0,1.2
185100,12.1,0,0.6,0
185202,11.1,0.8,0.2,0.4
185203,14.7,1.3,1.7,0.3
185204,6.9,2.3,0.3,0.3
185310,4.7,2,0.8,0
185320,2.5,1,0.2,0.4
186100,8.5,0.6,0.6,0.2
186201,7.9,0,0,0.8
186202,10.8,1.5,1.2,2.6
186203,8.3,2,0.9,0
186301,13.5,1.2,0.8,1.2
186302,5.7,0.3,0.9,1.1
