Tract,Total,Tot_White,Pct_White,Tot_Black,Pct_Black,Tot_Native,Pct_Native,Tot_Asian,Pct_Asian,Tot_Pac_Isl,Pct_Pac_Isl,Tot_Other,Pct_Other,Tot_Mixed,Pct_Mixed
400100,1254,980,78.14992026,30,2.392344498,0,0,177,14.11483254,0,0,9,0.7177033493,58,4.625199362
400200,828,712,85.99033816,8,0.9661835749,5,0.6038647343,74,8.937198068,0,0,0,0,29,3.502415459
400300,2458,1801,73.27095199,281,11.43205858,0,0,266,10.82180635,8,0.32546786,33,1.342554923,69,2.807160293
400400,1786,1253,70.15677492,105,5.879059351,14,0.7838745801,281,15.73348264,0,0,42,2.35162374,91,5.09518477
400500,1625,986,60.67692308,404,24.86153846,0,0,79,4.861538462,0,0,41,2.523076923,115,7.076923077
400600,691,419,60.63675832,129,18.66859624,4,0.5788712012,55,7.959479016,0,0,8,1.157742402,76,10.99855282
400700,1849,750,40.5624662,809,43.75338021,24,1.297998918,55,2.974580855,0,0,109,5.895078421,102,5.516495403
400800,1593,760,47.70872567,505,31.70119272,9,0.5649717514,243,15.25423729,0,0,25,1.569365976,51,3.201506591
400900,1050,507,48.28571429,335,31.9047619,4,0.380952381,84,8,0,0,78,7.428571429,42,4
401000,2490,943,37.87148594,912,36.62650602,8,0.3212851406,102,4.096385542,40,1.606425703,225,9.036144578,260,10.44176707
401100,2004,1444,72.05588822,242,12.0758483,0,0,183,9.131736527,0,0,65,3.243512974,70,3.493013972
401200,1222,764,62.52045827,253,20.70376432,9,0.736497545,92,7.528641571,0,0,47,3.846153846,57,4.664484452
401300,1766,631,35.73046433,598,33.86183465,10,0.5662514156,311,17.61041903,0,0,51,2.88788222,165,9.343148358
401400,1488,429,28.83064516,653,43.8844086,29,1.948924731,92,6.182795699,40,2.688172043,147,9.879032258,98,6.586021505
401500,1035,403,38.93719807,455,43.96135266,9,0.8695652174,63,6.086956522,10,0.9661835749,24,2.31884058,71,6.859903382
401600,805,277,34.40993789,331,41.11801242,0,0,77,9.565217391,11,1.366459627,60,7.453416149,49,6.086956522
401700,1276,592,46.39498433,306,23.98119122,0,0,162,12.69592476,0,0,155,12.14733542,61,4.780564263
401800,741,259,34.95276653,329,44.39946019,0,0,31,4.183535762,0,0,69,9.311740891,53,7.152496626
402200,858,305,35.54778555,307,35.78088578,8,0.9324009324,147,17.13286713,0,0,47,5.477855478,44,5.128205128
402400,1134,260,22.92768959,594,52.38095238,15,1.322751323,196,17.28395062,0,0,37,3.262786596,32,2.821869489
402500,693,78,11.25541126,494,71.28427128,0,0,54,7.792207792,0,0,27,3.896103896,40,5.772005772
402600,662,124,18.73111782,222,33.5347432,0,0,288,43.50453172,0,0,19,2.870090634,9,1.359516616
402700,693,215,31.02453102,345,49.78354978,5,0.7215007215,35,5.050505051,0,0,46,6.637806638,47,6.782106782
402800,2453,728,29.67794537,1087,44.31308602,26,1.05992662,428,17.44802283,0,0,27,1.100693029,157,6.400326131
402900,868,262,30.1843318,172,19.8156682,5,0.5760368664,302,34.79262673,0,0,63,7.258064516,64,7.373271889
403000,1590,92,5.786163522,75,4.716981132,4,0.251572327,1353,85.09433962,29,1.823899371,8,0.5031446541,29,1.823899371
403100,715,225,31.46853147,80,11.18881119,10,1.398601399,383,53.56643357,0,0,7,0.979020979,10,1.398601399
403300,2207,729,33.03126416,139,6.298142275,39,1.767104667,1125,50.97417309,0,0,94,4.259175351,81,3.670140462
403400,2765,1411,51.03074141,494,17.86618445,32,1.157323689,632,22.85714286,12,0.4339963834,116,4.195298373,68,2.459312839
403501,2697,1054,39.08045977,744,27.5862069,31,1.149425287,695,25.76937338,0,0,63,2.33592881,110,4.078605858
